phrase;word_count;items_total;calendar_count;calendar_pct;forwarding_count;forwarding_pct;knowledge-base_count;knowledge-base_pct;none_count;none_pct;matching_ids
einen termin;2;25;21;30.0;0;0.0;1;1.1;3;3.0;SP-001, SP-003, SP-010, SP-018, ZE-001, ZE-013, ZE-016, ZE-017, ZE-020, ZE-026, IM-001, IM-003, IM-008, IM-012, IM-014, IM-019, SC-001, SC-003, SC-008, SC-014, SC-019, SC-021, ME-001, ME-003, ME-007
ich habe;2;19;6;8.6;1;2.5;2;2.2;10;10.0;SP-005, SP-018, SP-032, AM-002, EC-004, HH-004, HH-052, ZE-017, IM-014, SC-005, ME-008, ME-011, ME-012, ME-013, ME-020, CH-013, PI-007, PI-011, PI-018
habe ich;2;17;6;8.6;0;0.0;1;1.1;10;10.0;SP-016, SP-017, SP-023, EC-002, HH-011, PD-002, ZE-006, ZE-016, ZE-029, IM-005, IM-009, SC-021, CH-009, CH-018, PI-002, PI-004, PI-013
bei ihnen;2;16;11;15.7;0;0.0;3;3.3;2;2.0;SP-004, SP-033, ZE-001, ZE-005, ZE-012, ZE-016, IM-007, IM-014, IM-020, IM-021, SC-005, SC-006, SC-007, SC-021, CH-012, CH-019
sie mich;2;15;0;0.0;15;37.5;0;0.0;0;0.0;SP-051, SP-059, SP-062, HH-025, HH-030, HH-032, HH-034, HH-037, HH-039, HH-041, HH-043, HH-048, HH-050, HH-053, HH-057
gibt es;2;14;3;4.3;0;0.0;11;12.2;0;0.0;SP-032, AM-005, AM-007, EC-006, EC-007, EC-008, PD-015, ZE-015, ZE-028, ZE-030, IM-006, SC-010, CH-014, PI-021
können sie;2;14;3;4.3;10;25.0;1;1.1;0;0.0;SP-051, SP-062, HH-014, HH-032, HH-039, HH-041, HH-043, HH-048, HH-050, HH-053, HH-057, IM-010, SC-016, ME-007
nächste woche;2;14;10;14.3;1;2.5;0;0.0;3;3.0;SP-062, ZE-014, ZE-015, IM-004, IM-005, IM-006, SC-004, SC-005, SC-006, SC-010, ME-004, ME-005, ME-006, ME-016
ich möchte;2;13;2;2.9;1;2.5;8;8.9;2;2.0;AM-003, HH-005, HH-006, HH-057, PD-003, ZE-013, ZE-016, ZE-023, ZE-032, IM-013, SC-019, CH-014, PI-003
bei euch;2;11;1;1.4;0;0.0;9;10.0;1;1.0;PD-010, PD-012, ZE-017, ZE-020, ZE-023, ZE-025, ZE-028, ZE-030, PI-014, PI-015, PI-017
mit dem;2;11;1;1.4;5;12.5;1;1.1;4;4.0;SP-012, SP-051, SP-052, HH-009, HH-022, HH-023, HH-034, HH-048, ZE-030, IM-004, PI-011
noch nicht;2;11;2;2.9;0;0.0;1;1.1;8;8.0;SP-011, SP-018, SP-023, SP-038, ZE-011, IM-002, IM-007, IM-009, IM-020, SC-014, ME-002
können sie mich;3;10;0;0.0;10;25.0;0;0.0;0;0.0;SP-051, SP-062, HH-032, HH-039, HH-041, HH-043, HH-048, HH-050, HH-053, HH-057
amazon business;2;10;0;0.0;0;0.0;10;11.1;0;0.0;AM-001, AM-003, AM-005, AM-006, AM-007, AM-012, EC-005, EC-007, EC-008, EC-012
kann ich;2;10;5;7.1;1;2.5;4;4.4;0;0.0;SP-030, SP-032, SP-050, EC-005, ZE-005, ZE-026, IM-006, SC-016, ME-005, ME-008
möchte ich;2;10;2;2.9;2;5.0;2;2.2;4;4.0;SP-009, SP-018, SP-023, SP-027, AM-007, HH-037, HH-055, ZE-002, IM-001, SC-001
ich gern;2;9;4;5.7;1;2.5;4;4.4;0;0.0;SP-001, SP-016, SP-017, SP-023, EC-007, HH-052, PD-007, ME-001, CH-005
ist mir;2;9;3;4.3;0;0.0;2;2.2;4;4.0;SP-021, SP-027, PD-009, ZE-034, ZE-035, IM-012, ME-005, PI-018, PI-020
können wir;2;9;9;12.9;0;0.0;0;0.0;0;0.0;SP-003, ZE-001, IM-003, IM-017, SC-003, SC-007, SC-015, ME-003, ME-019
termin bei;2;9;8;11.4;0;0.0;0;0.0;1;1.0;ZE-001, ZE-005, ZE-016, ZE-017, ZE-020, IM-014, IM-021, SC-007, SC-021
würde ich gern;3;8;3;4.3;1;2.5;4;4.4;0;0.0;SP-016, SP-017, SP-023, EC-007, HH-052, PD-007, ME-001, CH-005
brauche ich;2;8;0;0.0;1;2.5;0;0.0;7;7.0;SP-004, SP-027, SP-029, SP-038, HH-026, HH-056, ME-011, PI-004
den stadtwerken;2;8;0;0.0;8;20.0;0;0.0;0;0.0;HH-024, HH-025, HH-028, HH-030, HH-035, HH-039, HH-041, HH-043
für die;2;8;5;7.1;0;0.0;3;3.3;0;0.0;EC-003, ZE-026, ZE-030, SC-001, SC-003, SC-010, SC-012, SC-021
termin vereinbaren;2;8;5;7.1;0;0.0;2;2.2;1;1.0;ZE-023, ZE-026, IM-007, IM-019, SC-001, SC-003, ME-002, ME-007
würde ich;2;8;3;4.3;1;2.5;4;4.4;0;0.0;SP-016, SP-017, SP-023, EC-007, HH-052, PD-007, ME-001, CH-005
zu den;2;8;0;0.0;4;10.0;1;1.1;3;3.0;EC-002, HH-011, HH-024, HH-030, HH-035, HH-039, PD-014, CH-018
termin bei ihnen;3;7;7;10.0;0;0.0;0;0.0;0;0.0;ZE-001, ZE-005, ZE-016, IM-014, IM-021, SC-007, SC-021
bin ich;2;7;5;7.1;0;0.0;1;1.1;1;1.0;SP-030, IM-002, IM-015, SC-010, SC-012, SC-016, ME-005
ein termin;2;7;7;10.0;0;0.0;0;0.0;0;0.0;SP-006, ZE-006, ZE-021, IM-010, SC-005, SC-006, SC-016
ich mich;2;7;2;2.9;0;0.0;4;4.4;1;1.0;SP-017, SP-023, PD-005, PD-007, IM-009, SC-021, CH-005
ich würde;2;7;5;7.1;1;2.5;1;1.1;0;0.0;SP-003, AM-010, HH-039, ZE-003, IM-016, IM-017, ME-003
keinen termin;2;7;1;1.4;0;0.0;1;1.1;5;5.0;SP-009, SP-013, ZE-011, ZE-023, IM-020, ME-002, ME-012
nach einem;2;7;6;8.6;0;0.0;1;1.1;0;0.0;ZE-005, IM-005, SC-017, ME-005, ME-014, ME-016, CH-016
nicht mehr;2;7;0;0.0;1;2.5;0;0.0;6;6.0;SP-027, SP-038, SP-063, AM-009, HH-051, HH-056, PI-011
sie nach;2;7;7;10.0;0;0.0;0;0.0;0;0.0;SP-021, IM-014, SC-005, SC-012, SC-017, ME-014, ME-016
einen termin bei;3;6;5;7.1;0;0.0;0;0.0;1;1.0;ZE-001, ZE-016, ZE-017, ZE-020, IM-014, SC-021
freien termin;2;6;6;8.6;0;0.0;0;0.0;0;0.0;ZE-005, ZE-010, IM-005, SC-017, ME-005, ME-014
freien termine;2;6;5;7.1;0;0.0;0;0.0;1;1.0;SP-007, SP-014, ZE-015, IM-006, SC-004, ME-015
gern einen;2;6;6;8.6;0;0.0;0;0.0;0;0.0;SP-001, ZE-017, IM-007, IM-021, SC-021, ME-007
hat sich;2;6;0;0.0;0;0.0;0;0.0;6;6.0;SP-009, SP-040, HH-022, HH-038, HH-054, CH-004
muss ich;2;6;0;0.0;0;0.0;4;4.4;2;2.0;SP-033, AM-009, HH-008, ZE-013, ZE-026, CH-008
und würde;2;6;6;8.6;0;0.0;0;0.0;0;0.0;SP-005, ZE-017, IM-007, IM-014, SC-021, ME-007
wir einen;2;6;6;8.6;0;0.0;0;0.0;0;0.0;ZE-001, IM-001, IM-003, IM-019, SC-003, SC-015
nach einem freien termin;4;5;5;7.1;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, SC-017, ME-005, ME-014
einem freien termin;3;5;5;7.1;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, SC-017, ME-005, ME-014
einen termin vereinbaren;3;5;4;5.7;0;0.0;1;1.1;0;0.0;ZE-026, IM-019, SC-001, SC-003, ME-007
nach einem freien;3;5;5;7.1;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, SC-017, ME-005, ME-014
wir einen termin;3;5;5;7.1;0;0.0;0;0.0;0;0.0;ZE-001, IM-001, IM-003, IM-019, SC-003
bei den;2;5;0;0.0;4;10.0;1;1.1;0;0.0;SP-030, HH-025, HH-028, HH-041, HH-043
bietet ihr;2;5;0;0.0;0;0.0;5;5.6;0;0.0;AM-008, EC-003, PD-014, CH-003, PI-008
dafür einen;2;5;4;5.7;0;0.0;1;1.1;0;0.0;SP-003, SP-010, AM-001, SC-007, ME-003
die mitmachwerkstatt;2;5;5;7.1;0;0.0;0;0.0;0;0.0;SC-001, SC-003, SC-010, SC-012, SC-014
einem freien;2;5;5;7.1;0;0.0;0;0.0;0;0.0;ZE-005, IM-005, SC-017, ME-005, ME-014
erst einmal;2;5;0;0.0;0;0.0;2;2.2;3;3.0;SP-009, EC-009, ZE-013, PI-005, PI-014
